artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
Harmonia,Logged In,Ryan,M,0,Smith,655.77751,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,583,Sehr kosmisch,200,1542240000000.0,26.0
The Prodigy,Logged In,Ryan,M,1,Smith,260.07465,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,583,The Big Gundown,200,1542240000000.0,26.0
Train,Logged In,Ryan,M,2,Smith,205.45261000000002,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,583,Marry Me,200,1542240000000.0,26.0
,Logged In,Wyatt,M,0,Scott,,free,"Eureka-Arcata-Fortuna, CA",GET,Home,1540870000000.0,563,,200,1542250000000.0,9.0
,Logged In,Austin,M,0,Rosales,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1541060000000.0,521,,200,1542250000000.0,12.0
Sony Wonder,Logged In,Samuel,M,0,Gonzalez,218.06975,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540490000000.0,597,Blackbird,200,1542250000000.0,61.0
,Logged In,Samuel,M,1,Gonzalez,,free,"Houston-The Woodlands-Sugar Land, TX",GET,About,1540490000000.0,597,,200,1542250000000.0,61.0
,Logged Out,,,0,,,paid,,PUT,Login,,602,,307,1542260000000.0,
,Logged In,Tegan,F,1,Levine,,paid,"Portland-South Portland, ME",GET,Home,1540790000000.0,602,,200,1542260000000.0,80.0
Van Halen,Logged In,Tegan,F,2,Levine,289.38403999999997,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,602,Best Of Both Worlds (Remastered Album Version),200,1542260000000.0,80.0
Magic Sam,Logged In,Tegan,F,3,Levine,132.04853,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,602,Call Me If You Need Me,200,1542260000000.0,80.0
Edward Sharpe & The Magnetic Zeros,Logged In,Tegan,F,4,Levine,306.31138,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,602,Home,200,1542260000000.0,80.0
Usher featuring will.i.am,Logged In,Tegan,F,5,Levine,395.72853,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,602,OMG,200,1542260000000.0,80.0
,Logged In,Tegan,F,6,Levine,,paid,"Portland-South Portland, ME",GET,Home,1540790000000.0,602,,200,1542260000000.0,80.0
Helen Reddy,Logged In,Tegan,F,7,Levine,176.50893,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,602,Candle On The Water,200,1542260000000.0,80.0
Taylor Swift,Logged In,Tegan,F,8,Levine,201.06403999999998,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,602,Our Song,200,1542260000000.0,80.0
Sean Paul,Logged In,Tegan,F,9,Levine,245.34159,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,602,Baby Boy [feat. Beyonce],200,1542260000000.0,80.0
Soundgarden,Logged In,Lily,F,0,Koch,272.19546,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,582,Black Hole Sun,200,1542260000000.0,15.0
The Killers,Logged In,Tegan,F,10,Levine,360.75057000000004,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,602,Human,200,1542260000000.0,80.0
Amy Winehouse,Logged In,Lily,F,1,Koch,165.11955,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,582,Addicted,200,1542260000000.0,15.0
Steve Anderson,Logged In,Lily,F,2,Koch,265.06404,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,582,Air,200,1542260000000.0,15.0
Rob Zombie,Logged In,Lily,F,3,Koch,220.13342000000003,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,582,Superbeast,200,1542260000000.0,15.0
Deadmau5 & Kaskade,Logged In,Lily,F,4,Koch,595.56526,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,582,I Remember,200,1542260000000.0,15.0
,Logged In,Chloe,F,0,Cuevas,,paid,"San Francisco-Oakland-Hayward, CA",GET,Home,1540940000000.0,606,,200,1542270000000.0,49.0
Shania Twain,Logged In,Ryan,M,0,Smith,213.7073,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,607,Don't Be Stupid (You Know I Love You),200,1542270000000.0,26.0
Los Campesinos,Logged In,Ryan,M,1,Smith,138.10893000000002,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,607,We throw parties_ you throw knives,200,1542270000000.0,26.0
Ill Nino,Logged In,Chloe,F,1,Cuevas,188.9171,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,606,How Can I Live (Spanish version) (Album Version),200,1542270000000.0,49.0
Mia X,Logged In,Chloe,F,2,Cuevas,236.09423999999999,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,606,Thugs Like Me,200,1542270000000.0,49.0
Rage Against The Machine,Logged In,Chloe,F,3,Cuevas,314.40934,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,606,Killing In The Name,200,1542270000000.0,49.0
Asia 2001,Logged In,Chloe,F,4,Cuevas,150.30812,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,606,Epilogue,200,1542270000000.0,49.0
Muse,Logged In,Chloe,F,5,Cuevas,228.93669,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,606,Endlessly,200,1542270000000.0,49.0
,Logged In,Mohammad,M,0,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",GET,Home,1540510000000.0,591,,200,1542270000000.0,88.0
Rise Against,Logged In,Chloe,F,6,Cuevas,221.17832,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,606,Torches,200,1542270000000.0,49.0
,Logged In,Mohammad,M,1,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",GET,Upgrade,1540510000000.0,591,,200,1542270000000.0,88.0
,Logged In,Mohammad,M,2,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",GET,Home,1540510000000.0,591,,200,1542270000000.0,88.0
Modest Mouse,Logged In,Mohammad,M,3,Rodriguez,259.47382999999996,free,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1540510000000.0,591,The Good Times Are Killing Me,200,1542270000000.0,88.0
Marc Anthony,Logged In,Chloe,F,7,Cuevas,314.43546000000003,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,606,Te Conozco Bien,200,1542270000000.0,49.0
Regina Spektor,Logged In,Chloe,F,8,Cuevas,191.08526,paid,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,606,The Calculation (Album Version),200,1542270000000.0,49.0
Nina Sky,Logged In,Tegan,F,0,Levine,101.92934,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Goodbye (Interlude),200,1542270000000.0,80.0
Five Iron Frenzy,Logged In,Avery,F,0,Watkins,236.09423999999999,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Canada,200,1542280000000.0,30.0
,Logged In,Avery,F,1,Watkins,,paid,"San Jose-Sunnyvale-Santa Clara, CA",GET,Home,1540870000000.0,324,,200,1542280000000.0,30.0
,Logged In,Tegan,F,1,Levine,,paid,"Portland-South Portland, ME",GET,Downgrade,1540790000000.0,611,,200,1542280000000.0,80.0
Kudai,Logged In,Avery,F,2,Watkins,256.62649,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Ven,200,1542280000000.0,30.0
Pulp,Logged In,Avery,F,3,Watkins,260.8322,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Do You Remember The First Time?,200,1542280000000.0,30.0
,Logged In,Tegan,F,2,Levine,,paid,"Portland-South Portland, ME",GET,Downgrade,1540790000000.0,611,,200,1542280000000.0,80.0
SinÃÂ©ad O'Connor,Logged In,Avery,F,4,Watkins,282.51383,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,I Want Your (Hands On Me),200,1542280000000.0,30.0
Paul Brown,Logged In,Tegan,F,3,Levine,232.54158999999999,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Chill Out,200,1542280000000.0,80.0
Lasgo,Logged In,Avery,F,5,Watkins,220.13342000000003,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Something (Radio Edit),200,1542280000000.0,30.0
Patty Loveless,Logged In,Tegan,F,4,Levine,188.13342,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,What's A Broken Heart,200,1542280000000.0,80.0
Eddie Vedder,Logged In,Avery,F,6,Watkins,236.30322,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Society,200,1542280000000.0,30.0
Rogue Wave,Logged In,Tegan,F,5,Levine,234.13506,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Christians In Black,200,1542280000000.0,80.0
Muse,Logged In,Avery,F,7,Watkins,304.84853,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Uprising,200,1542280000000.0,30.0
Amanda Blank,Logged In,Tegan,F,6,Levine,175.09832,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Might Like You Better,200,1542280000000.0,80.0
The Smiths,Logged In,Avery,F,8,Watkins,162.24608,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Sheila Take A Bow,200,1542280000000.0,30.0
Old 97's,Logged In,Tegan,F,7,Levine,231.28771,paid,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,611,Victoria (LP Version),200,1542280000000.0,80.0
Selena,Logged In,Avery,F,9,Watkins,316.42077,paid,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1540870000000.0,324,Dreaming Of You,200,1542280000000.0,30.0
